title,movieId,genres,year,genre_list
Heat (1995),6,Action|Crime|Thriller,1995.0,"['Action', 'Crime', 'Thriller']"
Sudden Death (1995),9,Action,1995.0,['Action']
GoldenEye (1995),10,Action|Adventure|Thriller,1995.0,"['Action', 'Adventure', 'Thriller']"
Cutthroat Island (1995),15,Action|Adventure|Romance,1995.0,"['Action', 'Adventure', 'Romance']"
Money Train (1995),20,Action|Comedy|Crime|Drama|Thriller,1995.0,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']"
Assassins (1995),23,Action|Crime|Thriller,1995.0,"['Action', 'Crime', 'Thriller']"
Dead Presidents (1995),42,Action|Crime|Drama,1995.0,"['Action', 'Crime', 'Drama']"
Mortal Kombat (1995),44,Action|Adventure|Fantasy,1995.0,"['Action', 'Adventure', 'Fantasy']"
Lawnmower Man 2: Beyond Cyberspace (1996),66,Action|Sci-Fi|Thriller,1996.0,"['Action', 'Sci-Fi', 'Thriller']"
From Dusk Till Dawn (1996),70,Action|Comedy|Horror|Thriller,1996.0,"['Action', 'Comedy', 'Horror', 'Thriller']"
Fair Game (1995),71,Action,1995.0,['Action']
Screamers (1995),76,Action|Sci-Fi|Thriller,1995.0,"['Action', 'Sci-Fi', 'Thriller']"
"Crossing Guard, The (1995)",78,Action|Crime|Drama|Thriller,1995.0,"['Action', 'Crime', 'Drama', 'Thriller']"
White Squall (1996),86,Action|Adventure|Drama,1996.0,"['Action', 'Adventure', 'Drama']"
Nick of Time (1995),89,Action|Thriller,1995.0,"['Action', 'Thriller']"
Broken Arrow (1996),95,Action|Adventure|Thriller,1996.0,"['Action', 'Adventure', 'Thriller']"
Braveheart (1995),110,Action|Drama|War,1995.0,"['Action', 'Drama', 'War']"
Rumble in the Bronx (Hont faan kui) (1995),112,Action|Adventure|Comedy|Crime,1995.0,"['Action', 'Adventure', 'Comedy', 'Crime']"
Bad Boys (1995),145,Action|Comedy|Crime|Drama|Thriller,1995.0,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']"
Rob Roy (1995),151,Action|Drama|Romance|War,1995.0,"['Action', 'Drama', 'Romance', 'War']"
Batman Forever (1995),153,Action|Adventure|Comedy|Crime,1995.0,"['Action', 'Adventure', 'Comedy', 'Crime']"
Congo (1995),160,Action|Adventure|Mystery|Sci-Fi,1995.0,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']"
